"X","Y","color"
"0.47439843290749995","0.7143923524234898","[1.0]","[1.0]"
"0.3262253511313885","0.40111018457679487","[1.0]","[1.0]"
"0.5935848762039613","0.32692958058289745","[1.0]","[0.0]"
"0.32432442183351473","0.4905173339572146","[1.0]","[0.0]"
"0.36150081383566707","0.35167362786784173","[1.0]","[1.0]"
"0.4627492228927856","0.692234504629657","[1.0]","[1.0]"
"0.30456889047308916","0.3104364011376591","[1.0]","[0.0]"
"0.3947943651042897","0.49325896600983277","[1.0]","[0.0]"
"0.49498673771520657","0.6866570250635087","[1.0]","[1.0]"
"0.5932111855523929","0.524482678229724","[1.0]","[0.0]"
"0.4629891949631826","0.4121991982883246","[1.0]","[0.0]"
"0.24111272031640596","0.1574620742288189","[1.0]","[0.0]"
"0.5471017985119192","0.5407601478903027","[1.0]","[1.0]"
"0.5307922135192352","0.6479979798787595","[1.0]","[1.0]"
"0.48423789864593286","0.22707854513570058","[1.0]","[0.0]"
"0.29506109512723","0.5649238507335664","[1.0]","[0.0]"
"0.5044021533561811","0.5720261266620968","[1.0]","[1.0]"
"0.4373657747428625","0.43033767236463044","[1.0]","[0.0]"
"0.5482876989341924","0.4199431966303612","[1.0]","[0.0]"
"0.6340791953805235","0.4865335708935982","[1.0]","[1.0]"
"0.4571884884589229","0.36561529164336953","[1.0]","[1.0]"
"0.49455466940339265","0.6790286346327148","[1.0]","[1.0]"
"0.4750872728694569","0.5870480183368258","[1.0]","[1.0]"
"0.37448794621737946","0.6624378745078111","[1.0]","[0.0]"
"0.5239203362854795","0.4396027314022077","[1.0]","[0.0]"
"0.4533610613112322","0.4159033124772801","[1.0]","[0.0]"
"0.5516901677897093","0.44832694037602083","[1.0]","[0.0]"
"0.5288603043822708","0.5413684775722006","[1.0]","[0.0]"
"0.479783234056982","0.7080892855571445","[1.0]","[1.0]"
"0.7114886532927864","0.41464879903133844","[1.0]","[1.0]"
"0.25462359433490594","0.7066028602501054","[1.0]","[1.0]"
"0.4474243118589724","0.6831656755489793","[1.0]","[1.0]"
"0.29979629802297525","0.49558709949217467","[1.0]","[1.0]"
"0.5275187628328641","0.7976897255493343","[1.0]","[0.0]"
"0.6271084229829602","0.49434252772868686","[1.0]","[1.0]"
"0.3456494114706081","0.0","[1.0]","[0.0]"
"0.643465300248169","0.44314668716109956","[1.0]","[0.0]"
"0.46039019730244835","0.5539079671226957","[1.0]","[1.0]"
"0.3554476532232602","0.5063283511019517","[1.0]","[0.0]"
"0.5803652370117814","0.3222328153535053","[1.0]","[1.0]"
"0.38690467763428343","0.48444884256632664","[1.0]","[1.0]"
"0.3970305041653266","0.643694988109416","[1.0]","[0.0]"
"0.12213411747254858","0.4674382762066281","[1.0]","[0.0]"
"0.5895399190654685","0.6914106317813098","[1.0]","[1.0]"
"0.5228621917777485","0.5840704058739579","[1.0]","[1.0]"
"0.3152645558167276","0.25448164220250347","[1.0]","[0.0]"
"0.28109132871887915","0.3087567076948334","[1.0]","[0.0]"
"0.40304862729547064","0.31015438063175566","[1.0]","[0.0]"
"0.5618528560748519","0.6106733196940561","[1.0]","[1.0]"
"0.3660439174377034","0.3322172171090906","[1.0]","[0.0]"
"0.44256792165844966","0.6589714888734886","[1.0]","[0.0]"
"0.2586802645454003","0.3043747615160211","[1.0]","[0.0]"
"0.3602880632685248","0.41708695557009395","[1.0]","[0.0]"
"0.1887185519769168","0.22811296298942482","[1.0]","[0.0]"
"0.564475305586108","0.7312617633059801","[1.0]","[1.0]"
"0.5164804245970753","0.5028210528387859","[1.0]","[1.0]"
"0.5417720339138037","0.6707753976715022","[1.0]","[1.0]"
"0.5413255015148634","0.47370614465292943","[1.0]","[1.0]"
"0.5689433720642287","0.5407627234737928","[1.0]","[1.0]"
"0.4790924856567273","0.6560340045527","[1.0]","[1.0]"
"0.4931808321787455","0.3530628013122615","[1.0]","[0.0]"
"0.1653239487609034","0.44807835112497296","[1.0]","[0.0]"
"0.47093265357773784","0.16573901645372557","[1.0]","[0.0]"
"0.2987616865343455","0.6508435580368277","[1.0]","[1.0]"
"0.32911326108186956","0.4498425065888573","[1.0]","[1.0]"
"0.3977033469201018","0.5255948845075354","[1.0]","[1.0]"
"0.2735615298754398","0.2584338577198107","[1.0]","[0.0]"
"0.5340275112438225","0.5928259475680164","[1.0]","[0.0]"
"0.29748652890522775","0.28403658012952787","[1.0]","[0.0]"
"0.36542114413552246","0.5412949563513194","[1.0]","[0.0]"
"0.24438335185116067","0.30567718110493053","[1.0]","[0.0]"
"0.46506792272440517","0.5600174293778014","[1.0]","[1.0]"
"0.5361279918256961","0.22606196671953835","[1.0]","[0.0]"
"0.4995474338533206","0.4203450217553449","[1.0]","[1.0]"
"0.5484327604216572","0.38496541790298916","[1.0]","[0.0]"
"0.5661361780298939","0.3703465412045107","[1.0]","[1.0]"
"0.29855405202350127","0.3019238443494144","[1.0]","[0.0]"
"0.5385371174057167","0.5756408748541801","[1.0]","[1.0]"
"0.6068380771464754","0.23621269393486205","[1.0]","[1.0]"
"0.24632371996283456","0.4604956182176629","[1.0]","[1.0]"
"0.2858663905985041","0.2433668298240035","[1.0]","[1.0]"
"0.45362632220680216","0.5769980556989928","[1.0]","[0.0]"
"0.5718028941785244","0.587880625263263","[1.0]","[1.0]"
"0.6336655300265545","0.4061166988058026","[1.0]","[1.0]"
"0.3531358740029856","0.21974576562797912","[1.0]","[0.0]"
"0.5405926784282671","0.6559434144296503","[1.0]","[1.0]"
"0.35855454232814193","0.3687635895035021","[1.0]","[0.0]"
"0.4973519542067981","0.3547280392860006","[1.0]","[0.0]"
"0.4337293569636153","0.423830111322298","[1.0]","[0.0]"
"0.43792756874958283","0.7786409446458763","[1.0]","[1.0]"
"0.21559813634419858","0.44464343662805594","[1.0]","[0.0]"
"0.3697058582089789","0.493184394298437","[1.0]","[0.0]"
"0.5338376094705152","0.5734698749437517","[1.0]","[0.0]"
"0.7016260426369222","0.6851854766212649","[1.0]","[1.0]"
"0.40666889759620284","0.3963086196970508","[1.0]","[1.0]"
"0.5677083480570488","0.47211573192070727","[1.0]","[1.0]"
"0.2827848617495277","0.4722299614072909","[1.0]","[1.0]"
"0.19884709465630854","0.31886713544553974","[1.0]","[0.0]"
"0.5909861886671772","0.7998190259166646","[1.0]","[1.0]"
"0.8529642237222558","0.47561906700897616","[1.0]","[1.0]"
"0.4415133364424279","0.4728678883536201","[1.0]","[1.0]"
"0.2648953513036185","0.5752306291247068","[1.0]","[0.0]"
"0.32159872139106643","0.3522217568440984","[1.0]","[0.0]"
"0.5902441785213303","0.3385185730404044","[1.0]","[1.0]"
"0.49398985219287855","0.5358565436677191","[1.0]","[1.0]"
"0.3316760804857288","0.400334439171445","[1.0]","[0.0]"
"0.4101344811180231","0.5095387561434269","[1.0]","[0.0]"
"0.22530854780317242","0.405480061619053","[1.0]","[0.0]"
"0.37744914629855175","0.7145868207696875","[1.0]","[1.0]"
"0.3613974541745662","0.3807726670493817","[1.0]","[0.0]"
"0.6651354648935432","0.5833629858919069","[1.0]","[1.0]"
"0.3783784010548822","0.5645832927726524","[1.0]","[1.0]"
"0.31889989595635465","0.4953569559475286","[1.0]","[0.0]"
"0.4463692602041213","0.6206679577065073","[1.0]","[1.0]"
"0.7113810173169955","0.44264508494498894","[1.0]","[1.0]"
"0.43749764512767947","0.5008343606270059","[1.0]","[0.0]"
"0.3669904062431127","0.3649928958809795","[1.0]","[0.0]"
"0.6464876662301763","0.5546903439385424","[1.0]","[1.0]"
"0.7494305232464514","0.4805517450079285","[1.0]","[1.0]"
"0.5161913406616463","0.3993250164165642","[1.0]","[1.0]"
"0.30256248141417225","0.36031579051508306","[1.0]","[0.0]"
"0.3501174028909864","0.5701488544119032","[1.0]","[0.0]"
"0.5934389871720305","0.4749445015368522","[1.0]","[1.0]"
"0.4857777211277297","0.6042009500008314","[1.0]","[1.0]"
"0.4064327113055308","0.27399016713721724","[1.0]","[1.0]"
"0.788457690461334","0.5843000881992564","[1.0]","[1.0]"
"0.28020011983439463","0.47002548151176976","[1.0]","[0.0]"
"0.3684079890305211","0.543229985351461","[1.0]","[1.0]"
"0.4507020648703474","0.5886089842055098","[1.0]","[0.0]"
"0.6277143686819732","0.76691769752324","[1.0]","[1.0]"
"0.41335270859260315","0.38696397000455807","[1.0]","[0.0]"
"0.4712784654673478","0.7832833344741571","[1.0]","[1.0]"
"0.46103136588071747","0.5035011499050643","[1.0]","[0.0]"
"0.546700156236086","0.7639314287894877","[1.0]","[1.0]"
"0.1634985944184277","0.49539155294064385","[1.0]","[0.0]"
"0.5354869948376704","0.5034655401106696","[1.0]","[1.0]"
"0.4312109308849338","0.33650157565875366","[1.0]","[0.0]"
"0.5834484526034523","0.0020798387405813906","[1.0]","[0.0]"
"0.26398704557585606","0.4368916724630942","[1.0]","[0.0]"
"0.3891685038262031","0.6266217383900367","[1.0]","[1.0]"
"0.4246707472406094","0.5089011154870563","[1.0]","[0.0]"
"1.0","0.6353991850389502","[1.0]","[1.0]"
"0.5265275096803522","0.7902684465111443","[1.0]","[1.0]"
"0.35087789875322367","0.43108757817576465","[1.0]","[0.0]"
"0.5376153476380177","0.5268424631107245","[1.0]","[0.0]"
"0.5750553246040414","0.6280989003941603","[1.0]","[1.0]"
"0.4335193585463664","0.2005939386369523","[1.0]","[0.0]"
"0.25537492032401193","0.4593282296711155","[1.0]","[0.0]"
"0.4046140701434098","0.3760437789116499","[1.0]","[0.0]"
"0.38910113456647744","0.29774316518755417","[1.0]","[0.0]"
"0.23723271240032617","0.6420357802856939","[1.0]","[1.0]"
"0.38486503907603614","0.3851307799214308","[1.0]","[0.0]"
"0.5787503111206965","0.49286932680800144","[1.0]","[0.0]"
"0.5012768438440205","0.552684506016886","[1.0]","[1.0]"
"0.3604535500797025","0.5594208910945311","[1.0]","[0.0]"
"0.5120285340920133","0.748176915556175","[1.0]","[1.0]"
"0.760858911449435","0.5112710546494263","[1.0]","[1.0]"
"0.49607265501721964","0.3929788479037671","[1.0]","[0.0]"
"0.590857487476657","0.6447170565750405","[1.0]","[1.0]"
"0.3716739192964993","0.30967724975333905","[1.0]","[0.0]"
"0.5124575371077118","0.7102268078055296","[1.0]","[1.0]"
"0.2805743799822516","0.637608805420966","[1.0]","[0.0]"
"0.5791566835827673","0.6075950356627902","[1.0]","[1.0]"
"0.565528042460448","0.547382930321546","[1.0]","[1.0]"
"0.6962540198938724","0.5793547900182059","[1.0]","[1.0]"
"0.46435175769625175","0.9097037352383772","[1.0]","[1.0]"
"0.5976255763364533","0.6932264948818839","[1.0]","[1.0]"
"0.35534644730418163","0.8033846943301115","[1.0]","[1.0]"
"0.4743050238970779","0.7198374449576335","[1.0]","[1.0]"
"0.4213357941475193","0.5225762301261477","[1.0]","[1.0]"
"0.8001994250089287","0.6844373540816168","[1.0]","[1.0]"
"0.32051646400816297","0.4512032429045679","[1.0]","[0.0]"
"0.5726807729502765","0.5737994670449867","[1.0]","[0.0]"
"0.5959944567991186","0.17829244947812095","[1.0]","[1.0]"
"0.6035527923183627","0.470764654866877","[1.0]","[0.0]"
"0.3937832754002805","0.37575532164663544","[1.0]","[0.0]"
"0.5411246124052442","0.7620325753515251","[1.0]","[1.0]"
"0.2856319193974288","0.4768532829415776","[1.0]","[1.0]"
"0.6124353767928588","0.8242598242534637","[1.0]","[1.0]"
"0.6435233914662613","0.10690896778083513","[1.0]","[0.0]"
"0.4226291815591309","0.1934124433300182","[1.0]","[0.0]"
"0.28490167244979","0.6598024760499159","[1.0]","[1.0]"
"0.35031159184410093","0.3190006565716881","[1.0]","[0.0]"
"0.2932707694476734","0.5240153518125482","[1.0]","[1.0]"
"0.20037194587589158","0.44509557943041644","[1.0]","[0.0]"
"0.45311967349074045","0.24417670451640305","[1.0]","[0.0]"
"0.360033869242553","0.19711896206285243","[1.0]","[0.0]"
"0.627039641037572","0.632370974898246","[1.0]","[1.0]"
"0.20183614725501317","0.47963829812557446","[1.0]","[0.0]"
"0.4420259964556015","0.3262933778566924","[1.0]","[0.0]"
"0.30724725135099257","0.4166950385385836","[1.0]","[0.0]"
"0.031989617178151894","0.48587714488344397","[1.0]","[0.0]"
"0.3566758877188752","0.477635312536801","[1.0]","[0.0]"
"0.6136033422684646","0.5848086585284005","[1.0]","[1.0]"
"0.26066307932209615","0.34206170750753534","[1.0]","[0.0]"
"0.616451384048055","0.5732299015033611","[1.0]","[1.0]"
"0.6009600487803229","0.5481071411664415","[1.0]","[1.0]"
"0.5823185695323403","0.34007945944161416","[1.0]","[0.0]"
"0.36959585836524894","0.5926107601624495","[1.0]","[1.0]"
"0.34947463883410446","0.6314343860310884","[1.0]","[1.0]"
"0.32763955640831843","0.4359637357677747","[1.0]","[1.0]"
"0.29632545839624846","0.45536543184659006","[1.0]","[1.0]"
"0.19411580357897537","0.4679526827621953","[1.0]","[0.0]"
"0.518994480338273","0.11031706322236888","[1.0]","[0.0]"
"0.30437627742645545","0.26777321818528127","[1.0]","[0.0]"
"0.37159581494453636","0.5052097714365098","[1.0]","[0.0]"
"0.44202739838680144","0.628215677668861","[1.0]","[1.0]"
"0.4651822186466511","0.24052790966954113","[1.0]","[0.0]"
"0.37666863607966233","0.5217148961487599","[1.0]","[1.0]"
"0.39187221529221367","0.1956323974771977","[1.0]","[0.0]"
"0.2521713811607586","0.3625548938081448","[1.0]","[0.0]"
"0.20931300215268464","0.7229243760432302","[1.0]","[1.0]"
"0.44102215662962124","0.4437493831503413","[1.0]","[1.0]"
"0.7746779236098404","0.6963210800650359","[1.0]","[1.0]"
"0.4673894622494328","0.6597290766579315","[1.0]","[0.0]"
"0.20293557176844076","0.43002048472130666","[1.0]","[0.0]"
"0.5931677402439121","0.23451428018804207","[1.0]","[1.0]"
"0.5794478976526808","0.5972419436678015","[1.0]","[1.0]"
"0.3272928888658279","0.44604520506522044","[1.0]","[0.0]"
"0.34435572377044465","0.40848536188366874","[1.0]","[0.0]"
"0.5023324974366117","0.3140675502803149","[1.0]","[0.0]"
"0.2620325707488244","0.4810256598456809","[1.0]","[1.0]"
"0.4967380893788539","0.6829148363731881","[1.0]","[1.0]"
"0.47109004453050124","0.3328320888022409","[1.0]","[1.0]"
"0.2809408039780728","0.4568021377797944","[1.0]","[1.0]"
"0.1555005062894808","0.6819070369454894","[1.0]","[0.0]"
"0.648020962664468","0.6801036410917409","[1.0]","[1.0]"
"0.5895873647773863","0.5449292585877347","[1.0]","[1.0]"
"0.5671276550403082","0.7002979753307829","[1.0]","[1.0]"
"0.4056224585342948","0.5058530114708666","[1.0]","[0.0]"
"0.4081718042665373","0.6553623462155092","[1.0]","[1.0]"
"0.3117988937757701","0.3605983046367413","[1.0]","[1.0]"
"0.2297579067258164","0.42480379162626575","[1.0]","[0.0]"
"0.21402576154236838","0.3877327200887207","[1.0]","[1.0]"
"0.5069675665046283","0.4154261658006989","[1.0]","[1.0]"
"0.1307714281684055","0.4752116850268957","[1.0]","[0.0]"
"0.8705477333129484","0.36655435870600933","[1.0]","[1.0]"
"0.5638660093549327","0.46579930516909535","[1.0]","[0.0]"
"0.7945967655634967","0.6601467483753053","[1.0]","[1.0]"
"0.5820762372218512","0.26354794326345404","[1.0]","[0.0]"
"0.17764502798246196","0.11660532224360252","[1.0]","[0.0]"
"0.44126182043334744","0.609905500317238","[1.0]","[1.0]"
"0.5925223083572877","0.4307920029781259","[1.0]","[1.0]"
"0.6559256077576393","0.4675606657993959","[1.0]","[1.0]"
"0.6547543439384281","0.4380885311690685","[1.0]","[1.0]"
"0.2214103992860601","0.39483360762202524","[1.0]","[0.0]"
"0.329990611929871","0.7245600600259074","[1.0]","[1.0]"
"0.7801308932944127","0.5551553797505788","[1.0]","[1.0]"
"0.47347764377672263","0.5461958209805804","[1.0]","[0.0]"
"0.4309140106253372","0.5544387881188088","[1.0]","[0.0]"
"0.5563082845873715","0.4207429598931989","[1.0]","[1.0]"
"0.30298441736938214","0.5963968114325889","[1.0]","[0.0]"
"0.5426448773132473","0.6054638435824564","[1.0]","[0.0]"
"0.3177847390235302","0.7127825283200601","[1.0]","[1.0]"
"0.4553196113604886","0.5356006567563685","[1.0]","[1.0]"
"0.4777647708053463","0.37763438585560205","[1.0]","[0.0]"
"0.4975701807163079","0.4929114703872189","[1.0]","[1.0]"
"0.382789376009412","0.5839078200855278","[1.0]","[1.0]"
"0.31805031404538703","0.29621432510577217","[1.0]","[0.0]"
"0.47645725103141695","0.6321768855836789","[1.0]","[1.0]"
"0.3676934207650939","0.35917342880887754","[1.0]","[0.0]"
"0.24969152667527117","0.7162590023203304","[1.0]","[1.0]"
"0.5031996050210801","0.6511259166607737","[1.0]","[1.0]"
"0.6644755465065096","0.7718658381504622","[1.0]","[1.0]"
"0.6898630852796664","0.683334970094857","[1.0]","[1.0]"
"0.536916710961291","0.35401683760984676","[1.0]","[0.0]"
"0.3380817221890676","0.36751320851230923","[1.0]","[0.0]"
"0.5499879897538968","0.6903330150293974","[1.0]","[1.0]"
"0.40398771241660586","0.63749807741934","[1.0]","[0.0]"
"0.6300729164926355","0.7378527907253677","[1.0]","[1.0]"
"0.5280912232357167","0.3936325960847374","[1.0]","[0.0]"
"0.1427727148063529","0.40666726836701167","[1.0]","[0.0]"
"0.5628239915559231","0.4469877581485213","[1.0]","[0.0]"
"0.3722682354918333","0.5775282391929967","[1.0]","[0.0]"
"0.3103631964118705","0.5207642091836447","[1.0]","[0.0]"
"0.6573365647178444","0.7022125684605935","[1.0]","[1.0]"
"0.4761830002497441","0.35928232333171123","[1.0]","[1.0]"
"0.4390390930310629","0.2879293785567897","[1.0]","[0.0]"
"0.43008245352029006","0.5248156716657214","[1.0]","[1.0]"
"0.6650198812870476","0.31121796158034515","[1.0]","[1.0]"
"0.24420764187204588","0.6798825974054882","[1.0]","[0.0]"
"0.19000651004082061","0.5330214074611547","[1.0]","[0.0]"
"0.31649527603996636","0.4012982964164113","[1.0]","[0.0]"
"0.18968757336755732","0.18976220307827213","[1.0]","[0.0]"
"0.27064220780290954","0.8244653059596011","[1.0]","[1.0]"
"0.5014293245209891","0.5645142238542674","[1.0]","[1.0]"
